sta,n,span,order,n_segments,skipped_segments,n_blocks,dropped_blocks,n_flags,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
SIEM,43,13.8207,10,0,3,1,9,0,576,6960,1440,8976,11121,0.003,
SIEN,2452,7.9698,80,2,1,8,0,0,6576,285072,172656,500412,323346,0.029,
SIER,3108,10.987,104,0,0,11,0,0,5952,309216,149184,634236,356696,0.039,
SIFJ,2210,7.3703,75,2,0,8,0,0,6528,277440,159120,451044,309329,0.029,
SIGI,1429,5.6783,62,3,0,6,0,0,5736,196440,102888,291720,217122,0.02,
SIGO,4409,14.3409,131,2,0,15,0,0,11424,747456,317448,899640,807930,0.063,
SIGU,3142,9.024,89,0,0,9,0,0,4968,230904,150600,641172,284911,0.036,
SIH1,1051,9.7139,94,0,3,5,0,0,3840,236880,50448,214608,222575,0.017,
SIHA,,,,,,,,,,,,1428,,0.0,"ValueError: SIHA.tenv3: 6 epochs, need 24"
SIHI,1650,4.5941,53,0,0,5,0,0,2856,90264,79200,336804,120729,0.018,
SIHQ,898,2.4969,36,0,0,3,0,0,1824,45024,43104,183396,65654,0.011,
SIHS,7932,23.1896,202,5,0,24,0,0,18864,1481712,571104,1618332,1628760,0.126,
SIKA,1389,5.0733,57,0,0,6,0,0,3264,105072,66672,283560,126579,0.018,
SIKC,443,1.2156,26,0,0,2,0,0,1272,25608,21264,90576,37975,0.007,
SIKL,1620,6.1574,66,0,1,7,0,0,3792,136128,77760,330684,156588,0.019,
SIKT,336,4.7858,55,0,0,4,0,0,2592,91488,16080,68748,84120,0.008,
SIL0,1583,4.6324,54,0,0,5,0,0,2880,92880,75984,323136,121209,0.016,
SIL1,2186,6.193,66,2,0,7,0,0,5808,224688,157392,446148,266591,0.027,
SILA,4492,14.078,129,2,0,15,0,0,11328,728448,323424,916572,787691,0.068,
SILF,2725,14.3245,131,0,3,10,0,0,6288,458736,130800,556104,484600,0.04,
SILK,8606,26.2779,227,5,2,27,0,0,20736,1817376,618624,1755828,1975703,0.154,
SILL,5194,18.1876,162,6,26,18,0,0,13632,827952,319248,1059780,940664,0.087,
