station,normals_id,kind,month,amp_image,amp_normals,phase_image_day,phase_normals_day,phase_diff_days,range_image,range_normals,n_days,error
74394514710,USW00014710,diurnal,3,3.6438527514957175,,,,,8.576000666158661,7.586021505376343,31,
74394514710,USW00014710,diurnal,4,4.124662025758472,,,,,9.903791206149343,9.011111111111113,30,
74394514710,USW00014710,diurnal,5,4.3703850782302665,,,,,9.991414343233348,9.637992831541219,31,
74394514710,USW00014710,diurnal,6,4.9939665304338146,,,,,11.144253609233198,9.324074074074073,30,
74394514710,USW00014710,diurnal,7,5.371005411438301,,,,,11.402134365982931,9.225806451612904,31,
74394514710,USW00014710,diurnal,8,4.597938562754799,,,,,11.035934070551162,9.42114695340502,31,
74394514710,USW00014710,diurnal,9,4.920391966224234,,,,,11.566143589662936,9.029629629629628,30,
74394514710,USW00014710,diurnal,10,4.749938825445835,,,,,11.59464254703394,8.134408602150538,31,
74394514710,USW00014710,diurnal,11,3.524451036686517,,,,,9.395528452021033,6.331481481481481,30,
74394514710,USW00014710,diurnal,12,2.742866667169398,,,,,8.286015859720939,5.277777777777778,30,
74486094789,USW00094789,annual,0,11.097034625158953,11.663583858002026,208.5840584143089,207.22402551240157,1.3600329019073456,,,365,
74486094789,USW00094789,diurnal,1,1.7083198603062504,,,,,5.097294773955257,3.854838709677419,31,
74486094789,USW00094789,diurnal,2,2.310810610448863,,,,,5.608347767775228,4.688492063492063,29,
74486094789,USW00094789,diurnal,3,2.9862938968979935,,,,,7.066157302474888,5.318996415770609,31,
74486094789,USW00094789,diurnal,4,3.154896755833095,,,,,7.453821666469875,5.872222222222223,29,
74486094789,USW00094789,diurnal,5,3.1928481597229155,,,,,7.747608311073769,6.028673835125447,31,
74486094789,USW00094789,diurnal,6,3.2225883913129367,,,,,7.766757501424786,6.1796296296296305,30,
74486094789,USW00094789,diurnal,7,2.859092082441922,,,,,6.460871511358572,6.1164874551971335,31,
74486094789,USW00094789,diurnal,8,2.7135004183707463,,,,,7.903811763321411,5.905017921146953,31,
74486094789,USW00094789,diurnal,9,3.372794511521226,,,,,7.910206743102812,5.914814814814815,30,
74486094789,USW00094789,diurnal,10,3.4241291049092504,,,,,8.23886594398883,5.528673835125447,31,
74486094789,USW00094789,diurnal,11,2.8379454667488,,,,,7.718048667156504,4.662962962962964,30,
74486094789,USW00094789,diurnal,12,2.40978535861549,,,,,5.817642193303082,3.5967741935483875,31,
74516023202,USW00023202,annual,0,7.576755047675247,7.0472877082699075,209.63432532042805,209.39797950820991,0.23634581221813278,,,365,
74516023202,USW00023202,diurnal,1,2.7515572097102554,,,,,8.705461938336352,7.935483870967741,31,
74516023202,USW00023202,diurnal,2,3.471240417344348,,,,,8.621119780223541,9.136904761904761,29,
74516023202,USW00023202,diurnal,3,4.072576592442732,,,,,9.451175203498618,10.130824372759855,30,
74516023202,USW00023202,diurnal,4,6.972131079140578,,,,,14.884353538257411,11.516666666666667,30,
74516023202,USW00023202,diurnal,5,7.742178350206914,,,,,16.30001325334666,13.17921146953405,29,
74516023202,USW00023202,diurnal,6,8.43883476373535,,,,,18.352391260093732,15.022222222222219,30,
74516023202,USW00023202,diurnal,7,9.196638013425707,,,,,19.378202259867933,16.24372759856631,31,
74516023202,USW00023202,diurnal,8,8.291296902570409,,,,,18.05605129811422,16.14336917562724,30,
74516023202,USW00023202,diurnal,9,8.428727826605247,,,,,18.416284441733094,15.566666666666668,30,
74516023202,USW00023202,diurnal,10,6.502274869392562,,,,,15.333996484359657,13.58064516129032,31,
74516023202,USW00023202,diurnal,11,4.480818634187955,,,,,12.063488999658677,10.772222222222222,30,
74516023202,USW00023202,diurnal,12,3.3585350936534715,,,,,7.614145001922863,8.114695340501791,30,
74570013840,USW00013840,annual,0,11.199955190423582,12.57220855558003,191.68734392714416,199.72552039707412,-8.038176469929965,,,365,
74570013840,USW00013840,diurnal,1,2.172033311591775,,,,,5.545775408978022,4.489247311827957,31,
74570013840,USW00013840,diurnal,2,4.619235162773101,,,,,11.19047500266703,5.918650793650793,29,
74570013840,USW00013840,diurnal,3,4.200089098709679,,,,,10.362788974577384,7.750896057347668,31,
74570013840,USW00013840,diurnal,4,4.238228851112943,,,,,9.398436496250177,9.183333333333335,30,
74570013840,USW00013840,diurnal,5,3.9336763230384664,,,,,9.847208300648504,9.43727598566308,30,
74570013840,USW00013840,diurnal,6,4.7285711357623565,,,,,10.905202182832477,9.357407407407404,30,
74570013840,USW00013840,diurnal,7,4.330963765907812,,,,,10.330633098065121,9.283154121863797,31,
74570013840,USW00013840,diurnal,8,5.259427662771475,,,,,10.883118869577096,9.836917562724015,31,
74570013840,USW00013840,diurnal,9,6.291872084143298,,,,,13.893743584644497,10.303703703703706,30,
74570013840,USW00013840,diurnal,10,6.518130241379292,,,,,14.16275853595426,9.286738351254478,31,
74570013840,USW00013840,diurnal,11,2.8787032351942,,,,,7.487937964376666,6.827777777777778,30,
74570013840,USW00013840,diurnal,12,2.211701898807472,,,,,6.645579220714576,4.621863799283155,31,
74594013705,USW00013705,annual,0,10.75130963382777,11.613009556046334,199.12029611912308,200.85463428315643,-1.7343381640333462,,,365,
74594013705,USW00013705,diurnal,1,2.7574716482391564,,,,,7.854865915379084,5.775985663082436,31,
74594013705,USW00013705,diurnal,2,4.231411441819906,,,,,10.214159774528316,6.894841269841268,29,
74594013705,USW00013705,diurnal,3,4.097217084571126,,,,,9.274529464545413,8.127240143369175,30,
74594013705,USW00013705,diurnal,4,4.0705991895683535,,,,,9.77021407983139,9.088888888888887,30,
74594013705,USW00013705,diurnal,5,3.8040085291589714,,,,,9.623357976025485,9.10752688172043,30,
74594013705,USW00013705,diurnal,6,5.463594587493452,,,,,11.421370813607746,9.185185185185185,30,
74594013705,USW00013705,diurnal,7,4.3255208113203025,,,,,10.242987477725803,8.919354838709678,30,
74594013705,USW00013705,diurnal,8,4.419497418674728,,,,,9.834569928968559,8.68100358422939,31,
74594013705,USW00013705,diurnal,9,3.881803912594475,,,,,8.759389080875744,8.587037037037039,30,
74594013705,USW00013705,diurnal,10,5.7466287923526265,,,,,12.12794715946987,8.487455197132617,31,
74594013705,USW00013705,diurnal,11,3.338178472126251,,,,,10.26664809373565,7.527777777777777,30,
74594013705,USW00013705,diurnal,12,3.131599698422846,,,,,8.439589082266126,5.869175627240144,31,
74598013702,USW00013702,annual,0,9.615229586211676,10.767277782897409,202.3750171257723,203.11595786741597,-0.7409407416436693,,,365,
74598013702,USW00013702,diurnal,1,3.4085458303918883,,,,,8.209197193934916,5.539426523297493,31,
74598013702,USW00013702,diurnal,2,2.957245776453857,,,,,8.216244458097801,6.152777777777778,29,
74598013702,USW00013702,diurnal,3,2.690445248446213,,,,,9.294014325923506,6.639784946236557,31,
74598013702,USW00013702,diurnal,4,3.605521926033018,,,,,8.833966633153059,7.277777777777777,30,
74598013702,USW00013702,diurnal,5,2.8119270660850266,,,,,7.554608408563155,7.114695340501792,29,
74598013702,USW00013702,diurnal,6,4.024548867225119,,,,,8.598831195627966,7.025925925925926,30,
74598013702,USW00013702,diurnal,7,2.89748562896956,,,,,7.230620715699443,6.983870967741933,28,
74598013702,USW00013702,diurnal,8,3.3860666280024265,,,,,8.175801027185006,6.491039426523297,31,
74598013702,USW00013702,diurnal,9,2.1464928631791054,,,,,4.954279568642789,6.214814814814814,30,
74598013702,USW00013702,diurnal,10,4.048984072094747,,,,,8.66408675507478,6.829749103942652,31,
74598013702,USW00013702,diurnal,11,3.2273757275706076,,,,,8.950932424742284,6.6870370370370384,30,
74598013702,USW00013702,diurnal,12,2.802006146453344,,,,,7.942274880836244,5.759856630824373,31,
74671013806,USW00013806,annual,0,9.526391894420474,11.510294023829013,185.41506795745101,197.80346884251028,-12.38840088505927,,,365,
74671013806,USW00013806,diurnal,1,2.293358346689842,,,,,5.960351295352217,6.051971326164875,31,
74671013806,USW00013806,diurnal,2,4.745218568284429,,,,,11.60787182287994,7.099206349206348,29,
74671013806,USW00013806,diurnal,3,4.597497535910023,,,,,10.92067224708807,8.670250896057347,31,
74671013806,USW00013806,diurnal,4,3.9432600741210058,,,,,9.648622738686274,9.420370370370367,30,
74671013806,USW00013806,diurnal,5,3.7599544815008215,,,,,9.139640901679968,9.084229390681003,30,
74671013806,USW00013806,diurnal,6,5.049329268811581,,,,,10.62516556505276,9.025925925925923,30,
74671013806,USW00013806,diurnal,7,3.862180675092031,,,,,9.321803948580463,9.096774193548388,29,
74671013806,USW00013806,diurnal,8,5.0743287621973865,,,,,10.701677193420672,9.729390681003586,31,
74671013806,USW00013806,diurnal,9,4.755418882707215,,,,,10.755527976799831,10.377777777777778,30,
74671013806,USW00013806,diurnal,10,7.279700175210077,,,,,14.565529159080207,10.284946236559142,31,
74671013806,USW00013806,diurnal,11,2.9838681623144896,,,,,7.630010388875694,8.203703703703704,30,
74671013806,USW00013806,diurnal,12,2.4640363752055645,,,,,6.6968851031715175,5.992831541218639,31,
74671693808,USW00093808,annual,0,10.058700600128773,11.545856372414478,185.26587647954406,197.94708615581814,-12.68120967627408,,,365,
74671693808,USW00093808,diurnal,1,2.4226873446420085,,,,,6.998220652076197,5.933691756272402,31,
74671693808,USW00093808,diurnal,2,5.000462639694007,,,,,11.921289150982766,7.089285714285714,29,
74671693808,USW00093808,diurnal,3,5.4335580505691095,,,,,12.384170530886374,8.795698924731184,31,
74671693808,USW00093808,diurnal,4,3.8023280648813227,,,,,9.062356952892355,9.692592592592595,30,
74671693808,USW00093808,diurnal,5,4.633549385950712,,,,,9.840228099718065,9.462365591397848,31,
74671693808,USW00093808,diurnal,6,5.386165689086509,,,,,10.877102125155666,9.283333333333333,30,
74671693808,USW00093808,diurnal,7,3.9586583813112624,,,,,8.718097213233854,9.04659498207885,31,
74671693808,USW00093808,diurnal,8,4.997339771446509,,,,,11.144928300629385,9.818996415770606,31,
74671693808,USW00093808,diurnal,9,5.166115289180084,,,,,10.979361073233646,10.431481481481482,30,
74671693808,USW00093808,diurnal,10,7.443794156600424,,,,,15.286527692732598,10.456989247311826,31,
74671693808,USW00093808,diurnal,11,2.6792443641940036,,,,,7.373876410326275,8.468518518518518,30,
74671693808,USW00093808,diurnal,12,2.9395406353760816,,,,,7.891995137978832,5.940860215053763,31,
