station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AACR,east,detection,2812,9.4236,1.3587,483.18,2,14,2,11,2,0.1818,23.0,0,0.0,0.3562,0.1366,0.0234416570120983,-1.003873388501372
AACR,east,tracking,2812,9.4236,6.5294,2321.96,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.007916648228300252,-0.8627553014139497
AACR,north,detection,2812,9.4236,1.7544,623.9,3,14,2,11,2,0.1818,23.0,1,0.1061,0.3562,0.205,0.043655309963254854,0.7141525395513161
AACR,north,tracking,2812,9.4236,5.5055,1957.86,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.010567786796940504,1.0187427354421978
AACR,up,detection,2812,9.4236,1.1051,393.0,0,14,0,13,0,0.0,,0,0.0,0.3562,0.0,-0.04343129392670855,1.3482279579048246
AACR,up,tracking,2812,9.4236,4.7249,1680.28,0,14,0,0,0,,,0,0.0,0.3562,0.0,0.0006206752693831955,0.9361805986884224
AB01,east,detection,5693,19.2635,2.2666,398.14,1,47,0,45,0,0.0,,0,0.0,0.4719,0.0274,-0.022512241266674667,0.12932416799516916
AB01,east,tracking,5693,19.2635,10.8043,1897.82,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.011395811728329435,-0.07708378065663199
AB01,north,detection,5693,19.2635,3.0838,541.68,0,47,0,46,0,0.0,,0,0.0,0.4719,0.0,-0.001385904783455702,-0.3839933618775815
AB01,north,tracking,5693,19.2635,10.0796,1770.53,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.017940496682996618,-0.07244619069465229
AB01,up,detection,5693,19.2635,3.667,644.13,2,47,0,45,0,0.0,,1,0.0519,0.4719,0.0548,-0.007615176973129821,0.6263218214230695
AB01,up,tracking,5693,19.2635,10.4644,1838.12,0,47,0,4,0,0.0,,0,0.0,0.4719,0.0,-0.0008048857035272899,0.5031456584536446
AB02,east,detection,6749,19.2498,3.3776,500.45,3,50,2,48,2,0.0417,30.5,1,0.0519,0.4284,0.0891,-0.01666700588673611,0.5654725999011824
AB02,east,tracking,6749,19.2498,14.0422,2080.64,1,50,0,0,0,,,1,0.0519,0.4284,0.0297,-0.010248099877101973,0.44335119983103555
AB02,north,detection,6749,19.2498,2.9659,439.46,4,50,4,47,4,0.0851,33.99,0,0.0,0.4284,0.1188,-0.018530893233184114,0.12920592421486216
AB02,north,tracking,6749,19.2498,13.6441,2021.65,0,50,0,10,0,0.0,,0,0.0,0.4284,0.0,-0.01877174744754212,0.13120098797931143
AB02,up,detection,6749,19.2498,3.3932,502.77,1,50,0,48,0,0.0,,1,0.0519,0.4284,0.0297,0.01989689031418866,0.43226340094069116
AB02,up,tracking,6749,19.2498,13.1429,1947.39,0,50,0,10,0,0.0,,0,0.0,0.4284,0.0,-0.0005863937784988667,0.8252497670945168
AB04,east,detection,6062,19.1266,3.8383,633.17,7,8,0,7,0,0.0,,6,0.3137,0.1202,0.322,0.010464829891113761,0.357341560861569
AB04,east,tracking,6062,19.1266,11.3334,1869.58,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,1.388984835702886e-05,0.5580043293156309
AB04,north,detection,6062,19.1266,3.1327,516.77,5,8,0,8,0,0.0,,5,0.2614,0.1202,0.23,-0.022147201252638648,0.17525093808907266
AB04,north,tracking,6062,19.1266,11.9697,1974.54,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,-0.023217622787275734,0.19369351013365413
AB04,up,detection,6062,19.1266,3.4113,562.74,0,8,0,8,0,0.0,,0,0.0,0.1202,0.0,0.003915808139735419,0.4776991498346293
AB04,up,tracking,6062,19.1266,13.5468,2234.72,0,8,0,1,0,0.0,,0,0.0,0.1202,0.0,-0.0019944155120313056,0.5888468637330806
AB06,east,detection,6868,21.0212,3.0519,444.36,8,22,1,18,1,0.0556,20.02,6,0.2854,0.2501,0.2854,-0.0015924651601242487,-0.2850865081984936
AB06,east,tracking,6868,21.0212,14.4318,2101.31,1,22,0,0,0,,,1,0.0476,0.2501,0.0357,-0.007550180383909434,-0.1580978694534199
AB06,north,detection,6868,21.0212,3.4339,499.98,9,22,0,19,0,0.0,,9,0.4281,0.2501,0.3211,-0.0094083115196533,-0.10383576336632203
AB06,north,tracking,6868,21.0212,14.0562,2046.62,0,22,0,8,0,0.0,,0,0.0,0.2501,0.0,-0.023280427819269922,0.1806045670206659
AB06,up,detection,6868,21.0212,3.6771,535.39,6,22,0,19,0,0.0,,6,0.2854,0.2501,0.2141,-0.006020712723107815,0.5745041747230546
AB06,up,tracking,6868,21.0212,13.1798,1919.02,0,22,0,8,0,0.0,,0,0.0,0.2501,0.0,0.001668760030437975,0.41111733783300625
AB07,east,detection,7944,21.8289,3.5379,445.35,1,37,1,32,1,0.0312,14.0,0,0.0,0.2251,0.0355,-0.012593973577364824,0.7220167933580468
