sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw
0ALE,east,trend_annual,4,-48617.04342530501,-48617.04342504419,0.012832113843399055,0.012832113844266788,2,2
0ALE,east,trend_annual_semi,6,-48643.149342830955,-48643.149342567514,0.012691095057852224,0.01269109505871905,1,1
0ALE,east,trend_quad_annual_semi,7,-48651.84376712829,-48651.84376686336,0.01263543827073084,0.012635438271598716,0,0
0ALE,north,trend,2,-48251.76993985962,-48251.76993988613,0.014167305270451947,0.01416730527035461,3,3
0ALE,north,trend_annual,4,-48384.74234460407,-48384.74234463162,0.013628720393927915,0.013628720393830571,2,2
0ALE,north,trend_annual_semi,6,-48465.250902936765,-48465.25090296503,0.01329016246170294,0.013290162461605533,1,1
0ALE,north,trend_quad_annual_semi,7,-48646.97022614739,-48646.97022617711,0.012651413963529033,0.012651413963431533,0,0
0ALE,up,trend,2,-36880.726235581125,-36880.726235553804,0.27018162633060316,0.27018162633251747,3,3
0ALE,up,trend_annual,4,-38372.970775457696,-38372.970775417314,0.18271361453633156,0.18271361453824436,2,2
0ALE,up,trend_annual_semi,6,-38451.4793696644,-38451.47936962324,0.17826714590185946,0.17826714590376175,0,0
0ALE,up,trend_quad_annual_semi,7,-38448.906762642575,-38448.90676260136,0.17800458200218303,0.17800458200408514,1,1
0ALF,east,trend,2,-84316.71516518528,-84316.71516527624,0.10483546900039557,0.10483546899913108,3,3
0ALF,east,trend_annual,4,-86495.83070129303,-86495.83070141489,0.0783397575700639,0.0783397575687979,2,2
0ALF,east,trend_annual_semi,6,-86581.49259835525,-86581.49259847916,0.0772717060664023,0.07727170606513252,1,1
0ALF,east,trend_quad_annual_semi,7,-87759.91408870392,-87759.91408884866,0.06601455984966512,0.06601455984839809,0,0
0ALF,north,trend,2,-90576.7423901322,-90576.74239001007,0.04570738667548819,0.0457073866762285,3,3
0ALF,north,trend_annual,4,-91094.05027337432,-91094.05027324255,0.04257608281914989,0.042576082819893855,2,2
0ALF,north,trend_annual_semi,6,-91216.28485466512,-91216.28485453172,0.04179243914091396,0.04179243914165322,1,1
0ALF,north,trend_quad_annual_semi,7,-94234.02218491927,-94234.02218471922,0.02797620025065242,0.027976200251394592,0,0
0ALF,up,trend,2,-72492.13901134978,-72492.13901147025,0.5029196274289329,0.5029196274208974,3,3
0ALF,up,trend_annual,4,-76024.99501911529,-76024.99501930817,0.31405749596797944,0.31405749595994564,2,2
0ALF,up,trend_annual_semi,6,-76083.2124534441,-76083.21245363897,0.3109052088918439,0.31090520888380935,1,1
0ALF,up,trend_quad_annual_semi,7,-76721.2394114835,-76721.23941169574,0.28534426251160494,0.2853442625035745,0,0
0ALI,east,trend,2,-66679.42618503384,-66679.42618154397,0.04050889524858567,0.040508895273687014,3,3
0ALI,east,trend_annual,4,-73178.68994919123,-73178.68993809122,0.012736426952531929,0.012736426977633955,2,2
0ALI,east,trend_annual_semi,6,-73219.1491968811,-73219.1491856655,0.012606537102602018,0.012606537127706749,1,1
0ALI,east,trend_quad_annual_semi,7,-73586.46180522056,-73586.4617932316,0.011792493905255854,0.011792493930358795,0,0
0ALI,north,trend,2,-74036.92341509744,-74036.92341427208,0.010969819144858613,0.010969819146466227,3,3
0ALI,north,trend_annual,4,-74670.75890036997,-74670.75889944356,0.009772175730952164,0.0097721757325596,2,2
0ALI,north,trend_annual_semi,6,-74896.98850972446,-74896.98850875701,0.009358674687758748,0.009358674689366346,0,0
0ALI,north,trend_quad_annual_semi,7,-74892.67109123699,-74892.67109026894,0.009351500901469417,0.00935150090307679,1,1
0ALI,up,trend,2,-55603.00975429383,-55603.00975407401,0.2895172393841301,0.28951723939542984,3,3
0ALI,up,trend_annual,4,-58508.80669067487,-58508.80669030555,0.17229428021223106,0.17229428022352938,2,2
0ALI,up,trend_annual_semi,6,-58718.28001596874,-58718.28001558428,0.1654954479687804,0.1654954479800775,0,0
0ALI,up,trend_quad_annual_semi,7,-58711.759274818585,-58711.759274434036,0.1654332966266318,0.16543329663792772,1,1
0ALM,east,trend,2,-106048.17242269582,-106048.17242280864,0.05336738738750765,0.05336738738682548,3,3
0ALM,east,trend_annual,4,-114619.44980085728,-114619.44980115557,0.02016829369348319,0.020168293692801653,2,2
0ALM,east,trend_annual_semi,6,-114883.79343897438,-114883.79343928234,0.019533012823549384,0.019533012822867908,1,1
0ALM,east,trend_quad_annual_semi,7,-115123.45348770087,-115123.4534880178,0.018990254251124685,0.01899025425044289,0,0
0ALM,north,trend,2,-112477.55240838026,-112477.55240592019,0.0257600093978261,0.02576000940500538,3,3
0ALM,north,trend_annual,4,-112698.61365381451,-112698.61365128648,0.025071228719608388,0.02507122872678872,2,2
0ALM,north,trend_annual_semi,6,-113058.29190242848,-113058.29189979048,0.02402067286038676,0.02402067286756547,1,1
0ALM,north,trend_quad_annual_semi,7,-113190.37048597081,-113190.3704832904,0.02363958210556758,0.02363958211274595,0,0
0ALM,up,trend,2,-85636.51344027864,-85636.51344022289,0.5389439836210361,0.5389439836244403,3,3
0ALM,up,trend_annual,4,-89683.47343888115,-89683.4734387929,0.3400449857185115,0.3400449857219107,2,2
0ALM,up,trend_annual_semi,6,-89868.56836024458,-89868.5683601542,0.33230398151719137,0.3323039815205938,0,0
