sta,component,model,n_params,bic_image,bic_raw,rss_image,rss_raw,rank_image,rank_raw,error
0ALI,up,trend_annual_semi,6,-58718.280015875906,,0.1654954479715082,,0,,
0ALI,up,trend_quad_annual_semi,7,-58711.75927472576,,0.16543329662935877,,1,,
0ALM,east,trend,2,-106048.17242271475,,0.05336738738739313,,3,,
0ALM,east,trend_annual,4,-114619.44980090705,,0.020168293693369473,,2,,
0ALM,east,trend_annual_semi,6,-114883.79343902569,,0.01953301282343586,,1,,
0ALM,east,trend_quad_annual_semi,7,-115123.4534877538,,0.01899025425101086,,0,,
0ALM,north,trend,2,-112477.55241087354,,0.0257600093905499,,3,,
0ALM,north,trend_annual,4,-112698.61365637535,,0.025071228712334873,,2,,
0ALM,north,trend_annual_semi,6,-113058.29190510233,,0.024020672853110474,,1,,
0ALM,north,trend_quad_annual_semi,7,-113190.3704886878,,0.02363958209829117,,0,,
0ALM,up,trend,2,-85636.51344042752,,0.5389439836119461,,3,,
0ALM,up,trend_annual,4,-89683.47343911721,,0.34004498570941727,,2,,
0ALM,up,trend_annual_semi,6,-89868.56836048608,,0.3323039815080998,,0,,
0ALM,up,trend_quad_annual_semi,7,-89860.14773254513,,0.3322789498175551,,1,,
0ALN,east,trend,2,-14434.074141073424,,0.006854773595927719,,3,,
0ALN,east,trend_annual,4,-15805.419997701047,,0.0021542673991238933,,1,,
0ALN,east,trend_annual_semi,6,-15798.472032060177,,0.0021412996674252532,,2,,
0ALN,east,trend_quad_annual_semi,7,-15817.977152864938,,0.0020942528331192134,,0,,
0ALN,north,trend,2,-14425.2263177063,,0.006905629511476805,,3,,
0ALN,north,trend_annual,4,-14786.110213493459,,0.005048062045099826,,2,,
0ALN,north,trend_annual_semi,6,-14938.819582578775,,0.004391124911462808,,0,,
0ALN,north,trend_quad_annual_semi,7,-14931.80734815952,,0.0043908485423683466,,1,,
0ALN,up,trend,2,-11525.48212382651,,0.07785489078659819,,3,,
0ALN,up,trend_annual,4,-12399.385310972299,,0.03707439762860673,,2,,
0ALN,up,trend_annual_semi,6,-12432.83250450593,,0.0356283580262433,,1,,
0ALN,up,trend_quad_annual_semi,7,-12433.022746463275,,0.03541239315617669,,0,,
0ALS,east,trend,2,-35085.90349004276,,0.011781351669030004,,3,,
0ALS,east,trend_annual,4,-38191.962984947146,,0.003913847290147944,,2,,
0ALS,east,trend_annual_semi,6,-38228.61546171371,,0.0038419166816753172,,1,,
0ALS,east,trend_quad_annual_semi,7,-38325.404578453155,,0.003702471619800025,,0,,
0ALS,north,trend,2,-37463.266298631206,,0.005090367162976643,,3,,
0ALS,north,trend_annual,4,-37501.64542011479,,0.004993769385348037,,2,,
0ALS,north,trend_annual_semi,6,-37724.225757807784,,0.004590606816676758,,1,,
0ALS,north,trend_quad_annual_semi,7,-37781.73413605022,,0.004485755199597303,,0,,
0ALS,up,trend,2,-27758.879484864574,,0.1564647365210496,,3,,
0ALS,up,trend_annual,4,-29004.233850963425,,0.10024631664652102,,2,,
0ALS,up,trend_annual_semi,6,-29065.314147611236,,0.09755909060839019,,0,,
0ALS,up,trend_quad_annual_semi,7,-29057.84480999212,,0.09754257088036182,,1,,
0ALV,east,trend,2,-76081.50773484363,,0.07923653893479485,,3,,
0ALV,east,trend_annual,4,-83884.61768729395,,0.024689607625381603,,2,,
0ALV,east,trend_annual_semi,6,-84221.80119081568,,0.023417454499151953,,1,,
0ALV,east,trend_quad_annual_semi,7,-85804.87645326923,,0.01846975790870676,,0,,
0ALV,north,trend,2,-80207.5069860239,,0.04283088618666963,,3,,
0ALV,north,trend_annual,4,-80598.4247641737,,0.04029982246089935,,2,,
0ALV,north,trend_annual_semi,6,-80741.04705230724,,0.0393483874828386,,1,,
0ALV,north,trend_quad_annual_semi,7,-81490.18108374364,,0.03514375562349971,,0,,
0ALV,up,trend,2,-63530.1375529324,,0.5148219943025631,,3,,
0ALV,up,trend_annual,4,-67420.82705661663,,0.2874646696718718,,1,,
0ALV,up,trend_annual_semi,6,-67416.48833612111,,0.2868959144242494,,2,,
0ALV,up,trend_quad_annual_semi,7,-67656.22687034015,,0.2764586518291524,,0,,
0AMB,east,trend,2,-48179.37497481465,,0.031192902818698312,,3,,
0AMB,east,trend_annual,4,-51980.555527826975,,0.012264880646053605,,2,,
0AMB,east,trend_annual_semi,6,-52149.715335792025,,0.011720200947118883,,0,,
0AMB,east,trend_quad_annual_semi,7,-52147.08298439565,,0.0117039244789756,,1,,
0AMB,north,trend,2,-46459.98010316239,,0.04749291487310994,,3,,
0AMB,north,trend_annual,4,-51660.27695994101,,0.013263921295851954,,2,,
0AMB,north,trend_annual_semi,6,-52149.06526920143,,0.011722063909607798,,1,,
0AMB,north,trend_quad_annual_semi,7,-52261.17518709492,,0.011381950452562767,,0,,
0AMB,up,trend,2,-39602.08326408487,,0.25399839110506084,,3,,
0AMB,up,trend_annual,4,-41598.13518056196,,0.15527985869522837,,2,,
0AMB,up,trend_annual_semi,6,-41652.98521414147,,0.1525895462456218,,1,,
0AMB,up,trend_quad_annual_semi,7,-41667.72961352142,,0.15173161954595052,,0,,
0AME,east,trend,2,-75085.73999500631,,0.03252728371399153,,3,,
0AME,east,trend_annual,4,-82849.81398883241,,0.00923248196452683,,2,,
0AME,east,trend_annual_semi,6,-83034.56652377959,,0.008935235418563567,,1,,
0AME,east,trend_quad_annual_semi,7,-83257.18397275571,,0.008606878865375584,,0,,
0AME,north,trend,2,-81381.40237652343,,0.011742312521012026,,3,,
0AME,north,trend_annual,4,-81948.38004841477,,0.010682582566938631,,2,,
0AME,north,trend_annual_semi,6,-82344.01004152844,,0.009991763575855397,,1,,
0AME,north,trend_quad_annual_semi,7,-82466.43952012155,,0.00978190877225458,,0,,
0AME,up,trend,2,-60030.129606152645,,0.3719116830814544,,3,,
0AME,up,trend_annual,4,-62989.89285277211,,0.2297122564894121,,2,,
0AME,up,trend_annual_semi,6,-63135.44239678509,,0.22373148419481792,,1,,
0AME,up,trend_quad_annual_semi,7,-63140.4431899652,,0.22323490593667333,,0,,
0AMM,east,trend,2,-77999.50933669496,,0.05688946470289457,,3,,
0AMM,east,trend_annual,4,-84313.06167319258,,0.02205978217567946,,2,,
0AMM,east,trend_annual_semi,6,-84315.46565699081,,0.021993801952128283,,1,,
0AMM,east,trend_quad_annual_semi,7,-84440.32318113484,,0.02155827986070019,,0,,
0AMM,north,trend,2,-81391.49894394657,,0.03424550235137035,,3,,
0AMM,north,trend_annual,4,-81892.4212289451,,0.03168884718089102,,2,,
0AMM,north,trend_annual_semi,6,-82124.30470225665,,0.030527610726357436,,0,,
0AMM,north,trend_quad_annual_semi,7,-82115.50337033127,,0.030527583362785583,,1,,
0AMM,up,trend,2,-63674.63012837306,,0.4852142392242773,,3,,
0AMM,up,trend_annual,4,-67028.75134648437,,0.2929688322800778,,2,,
0AMM,up,trend_annual_semi,6,-67109.98467459714,,0.2886674319068211,,1,,
0AMM,up,trend_quad_annual_semi,7,-67116.52771156628,,0.28800514496046903,,0,,
0AMS,east,trend,2,-43461.94522267078,,0.030600014601141857,,3,,
0AMS,east,trend_annual,4,-46391.10244622993,,0.013844584487396776,,1,,
0AMS,east,trend_annual_semi,6,-46387.39554757171,,0.01379720190189794,,2,,
0AMS,east,trend_quad_annual_semi,7,-46420.427733724544,,0.013644801888580858,,0,,
0AMS,north,trend,2,-48456.76149818263,,0.007973621708377307,,3,,
0AMS,north,trend_annual,4,-48744.5472023172,,0.007346512116893553,,2,,
0AMS,north,trend_annual_semi,6,-48896.724688667484,,0.007020435292606394,,1,,
