station,component,config,n_updates,station_years,seconds,us_per_update,n_flags,n_steps,n_detected,n_reachable,n_detected_reachable,recall_reachable,median_delay_days,n_false_alarms,false_alarms_per_year,event_window_share,chance_false_alarms_per_year,v,c
AB07,east,detection,7944,21.8289,1.0071,126.77,1,37,1,32,1,0.0312,14.0,0,0.0,0.2251,0.0355,-0.012593973577183514,0.7220167933540987
AB07,east,tracking,7944,21.8289,3.0644,385.75,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,-0.012377005776460604,0.7192579446658244
AB07,north,detection,7944,21.8289,0.9472,119.24,2,37,2,31,2,0.0645,9.99,0,0.0,0.2251,0.071,-0.0316186055129607,0.14397059597169407
AB07,north,tracking,7944,21.8289,3.3847,426.07,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,-0.02662186620557961,0.030480387362567318
AB07,up,detection,7944,21.8289,0.9331,117.46,2,37,1,32,1,0.0312,14.0,1,0.0458,0.2251,0.071,0.005632344455889208,0.3777279057008594
AB07,up,tracking,7944,21.8289,3.2667,411.22,1,37,0,13,0,0.0,,1,0.0458,0.2251,0.0355,0.002575915732970133,0.4414075059940106
AB08,east,detection,5770,17.1937,0.7083,122.75,4,9,0,7,0,0.0,,4,0.2326,0.167,0.1938,0.015639610535815966,-0.5253745754812156
AB08,east,tracking,5770,17.1937,2.4558,425.62,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.0006246413293570622,-0.24667196903994076
AB08,north,detection,5770,17.1937,0.6801,117.86,2,9,0,8,0,0.0,,2,0.1163,0.167,0.0969,-0.03001250818921223,0.1511533735535145
AB08,north,tracking,5770,17.1937,2.311,400.53,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.026138642976197318,0.07888244194475187
AB08,up,detection,5770,17.1937,0.9838,170.5,0,9,0,8,0,0.0,,0,0.0,0.167,0.0,-0.0017782891057751794,0.5359154475779954
AB08,up,tracking,5770,17.1937,2.5203,436.8,0,9,0,1,0,0.0,,0,0.0,0.167,0.0,-0.002558801441481767,0.5477361201902352
AB09,east,detection,6648,19.0828,0.8032,120.81,2,7,0,4,0,0.0,,2,0.1048,0.0871,0.0957,-0.008196226865418196,0.7152475589731542
AB09,east,tracking,6648,19.0828,2.68,403.12,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,0.0014785002820449729,0.534916617853261
AB09,north,detection,6648,19.0828,0.7728,116.25,3,7,0,4,0,0.0,,3,0.1572,0.0871,0.1435,-0.02909740206441735,0.9469657000939734
AB09,north,tracking,6648,19.0828,2.7116,407.88,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,-0.023221147365575966,0.8335699851256538
AB09,up,detection,6648,19.0828,0.8225,123.72,0,7,0,7,0,0.0,,0,0.0,0.0871,0.0,-0.04555662614617326,0.9517831081402053
AB09,up,tracking,6648,19.0828,2.863,430.65,0,7,0,3,0,0.0,,0,0.0,0.0871,0.0,-0.00037423970849857833,0.09107348183020535
AB11,east,detection,6289,20.0876,0.8505,135.23,12,8,0,3,0,0.0,,12,0.5974,0.1059,0.5341,0.007940917011500948,0.2586794532993191
AB11,east,tracking,6289,20.0876,2.3864,379.46,0,8,0,1,0,0.0,,0,0.0,0.1059,0.0,-0.0016314629417036124,0.45158057413343783
AB11,north,detection,6289,20.0876,0.8862,140.91,10,8,1,3,1,0.3333,26.01,9,0.448,0.1059,0.4451,-0.031246269539842005,0.26816727631695925
AB11,north,tracking,6289,20.0876,2.6934,428.28,0,8,0,1,0,0.0,,0,0.0,0.1059,0.0,-0.02547443717780812,0.1535284994000688
AB11,up,detection,6289,20.0876,0.7264,115.5,6,8,0,3,0,0.0,,5,0.2489,0.1059,0.2671,-0.03846629553034104,1.217782567325959
AB11,up,tracking,6289,20.0876,2.4806,394.43,1,8,0,0,0,,,1,0.0498,0.1059,0.0445,-0.0020971299527972045,0.4909338714324015
AB12,east,detection,4061,11.8084,0.514,126.56,3,3,0,2,0,0.0,,2,0.1694,0.0835,0.2329,-0.21485419923011456,1.6713297596664913
AB12,east,tracking,4061,11.8084,1.5069,371.06,0,3,0,0,0,,,0,0.0,0.0835,0.0,-0.01876841903773492,-0.5692003910720543
AB12,north,detection,4061,11.8084,0.5074,124.94,9,3,2,2,2,1.0,24.5,7,0.5928,0.0835,0.6986,-0.3007114756219621,4.2810030312319345
AB12,north,tracking,4061,11.8084,1.6784,413.29,0,3,0,0,0,,,0,0.0,0.0835,0.0,-0.011101907736190807,0.8435318564256583
AB12,up,detection,4061,11.8084,0.5248,129.24,8,3,1,2,1,0.5,39.99,7,0.5928,0.0835,0.6209,-0.09827024896782201,1.3092006913008796
AB12,up,tracking,4061,11.8084,1.5577,383.58,0,3,0,0,0,,,0,0.0,0.0835,0.0,0.012615622199529709,-0.009963981057567227
AB13,east,detection,6873,19.6249,0.796,115.81,8,19,2,16,2,0.125,2.5,6,0.3057,0.2002,0.326,-0.017943395228333065,-0.4092997304689467
AB13,east,tracking,6873,19.6249,2.7106,394.38,1,19,1,6,1,0.1667,44.01,0,0.0,0.2002,0.0408,-0.007546406588399098,-0.6122262789430744
AB13,north,detection,6873,19.6249,0.9086,132.2,6,19,2,16,2,0.125,7.0,4,0.2038,0.2002,0.2445,-0.04772236479862252,0.17484727627639204
AB13,north,tracking,6873,19.6249,3.0416,442.55,1,19,1,0,0,,43.99,0,0.0,0.2002,0.0408,-0.03212518923071168,-0.1284616486694418
AB13,up,detection,6873,19.6249,0.8685,126.36,3,19,1,17,1,0.0588,1.0,2,0.1019,0.2002,0.1223,-0.011593566779189539,0.9933042835820849
AB13,up,tracking,6873,19.6249,2.8869,420.03,1,19,1,6,1,0.1667,44.01,0,0.0,0.2002,0.0408,0.005789924480473827,0.6582462156007711
AB14,east,detection,6920,19.1294,0.9087,131.32,7,13,0,11,0,0.0,,6,0.3137,0.1798,0.3001,-0.00473464454689741,0.18246380655948902
AB14,east,tracking,6920,19.1294,2.7852,402.48,0,13,0,6,0,0.0,,0,0.0,0.1798,0.0,-0.0045959563499400075,0.18125657113250043
AB14,north,detection,6920,19.1294,0.8159,117.9,12,13,2,9,2,0.2222,31.99,9,0.4705,0.1798,0.5145,-0.024895568946928327,0.38090603443866916
AB14,north,tracking,6920,19.1294,2.8312,409.13,1,13,0,0,0,,,1,0.0523,0.1798,0.0429,-0.02816727884281004,0.440087642289303
