sta,kind,index,component,n,span,order,a1,a2,b1,b2,c,v,stderr_a1,stderr_a2,stderr_b1,stderr_b2,stderr_c,stderr_v,rss,bic,converged,midas_v,midas_sigma,midas_span,midas_steps,diff,diff_over_sigma,within_sigma,error
AC53,segmean,-1,north,5031,13.9492,52,0.0016029875768980115,0.00017255561964414973,-0.0030356097644480768,-0.0006623699619141943,0.39561139107616944,-0.01846735945080801,,,,,,,,,True,-0.018692,0.000493,19.1266,12,0.00022464054919198867,0.45566034318861803,True,
AC53,segmean,-1,up,5031,13.9492,52,0.009380797469042499,0.0032743043399715336,-0.003883129539503184,0.0032264101593088793,0.4484879122390589,0.0038951266512265974,,,,,,,,,True,0.003839,0.000853,19.1266,12,5.612665122659748e-05,0.06579912218827372,True,
AC55,whole,0,east,1426,3.9042,48,-0.007086731167158579,-0.0011759604600164294,0.00647227290807272,-0.0013234734161597032,0.9837715946713216,0.046418297074522614,0.00019400537104792022,0.0001927251313513285,0.0001931253972900397,0.00019145229741725212,0.00027547266690700756,0.00012290807371409822,0.03714368023836278,-15008.695907750905,True,0.042633,0.000989,3.9042,0,0.003785297074522617,3.82739845755573,False,
AC55,whole,0,north,1426,3.9042,48,-0.0007456040569113697,-0.0005501267776811863,-0.0008113663074979365,-0.0013649644256161586,0.7509105378094166,-0.013536402621649821,8.604721415184747e-05,8.547938936048583e-05,8.565691933689801e-05,8.491484924742807e-05,0.0001221804088943131,5.451342549302807e-05,0.007306864492405786,-17327.342523940748,True,-0.014453,0.000496,3.9042,0,0.0009165973783501792,1.8479785853834259,False,
AC55,whole,0,up,1426,3.9042,48,0.010550963650376973,0.0010350691161022294,0.0041026983499625625,-0.0007039254343388598,0.35517893693423647,-0.02317890110952759,0.00025577964916406086,0.0002540917615624375,0.0002546194782994684,0.00025241363783141073,0.0003631873783451004,0.00016204388468326163,0.06456384697215424,-14220.316167729437,True,-0.022925,0.001529,3.9042,0,-0.0002539011095275892,-0.16605697156807667,True,
AC57,whole,0,east,7224,20.1643,178,-0.0025657501201744935,-0.00026071316471559553,0.0005412652697125042,-9.483802948482943e-05,-0.448404059876441,-0.024949319185495603,4.076922951155814e-05,4.094252413727513e-05,4.123947787134202e-05,4.105747585788673e-05,5.759122516683142e-05,5.002618995576139e-06,0.0437883666057744,-86732.58284509751,True,-0.024489,0.000175,20.1643,11,-0.0004603191854956022,-2.6303953456891556,False,
AC57,whole,0,north,7224,20.1643,178,0.0029572925534646862,0.00019439540626878187,0.00168416520976731,0.0006347095697389786,0.39329109029414866,0.0075178014035608,7.558020693176474e-05,7.590146989966409e-05,7.645197882364494e-05,7.611457362850754e-05,0.00010676573405266251,9.274126183307684e-06,0.15049077922332818,-77814.31186443422,True,0.009076,0.000195,20.1643,11,-0.0015581985964392003,-7.99076203302154,False,
AC57,whole,0,up,7224,20.1643,178,-0.005400080831767787,-0.0010122627091491581,0.01108157028523808,0.0006611631069164332,0.34576354176601803,0.010119216040992212,0.00012443302406145703,0.00012496194193873628,0.00012586828359834038,0.00012531278963412172,0.0001757759563467218,1.5268647882353296e-05,0.40791065461533155,-70610.92661798465,True,0.010133,0.000832,20.1643,11,-1.3783959007787963e-05,-0.01656725842282207,True,
AC57,seg,0,east,1721,4.7119,54,-0.00260565371856372,-0.00029551036182688613,0.0008033374815104315,0.0001212670562220029,-0.4532792607444844,-0.023697186414931817,4.436381994300161e-05,4.442018784850337e-05,4.46595115339611e-05,4.420726220747537e-05,6.284895307129516e-05,2.311977428521582e-05,0.002885311852138409,-22842.50172751371,True,,,,,,,,
AC57,seg,0,north,1721,4.7119,54,0.0030633808464952013,0.0005756455092112439,0.001954787476840411,0.000663129273688483,0.38484142710342456,0.009782416532590961,5.315466271987155e-05,5.322220011879304e-05,5.350894661171737e-05,5.2967082533161386e-05,7.530268825123403e-05,2.7701036697676634e-05,0.004142071823999055,-22220.251606958314,True,,,,,,,,
