station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
72590523275,2024,TMP,366,11212,43,401,2,362,4,49432,841944,144216,6196822,846566,0.141,
72591024216,2024,TMP,366,12744,3,688,4,353,4,48208,821136,202888,7020161,880769,0.15,
72592024257,2024,TMP,366,13129,21,368,23,362,4,49432,841944,209136,7079251,906149,0.16,
72594524283,2024,TMP,366,15058,4,382,2,366,0,49976,851192,229216,8542836,927411,0.215,
72595724215,2024,TMP,366,11874,19,384,1,363,2,49568,844256,154368,6552537,853158,0.197,
72597024225,2024,TMP,366,13324,16,397,24,365,1,49840,848880,212488,7482560,914820,0.273,
72597524235,2024,TMP,366,10064,15,269,2,226,52,30936,527512,148344,5548801,577385,0.161,
72605014745,2024,TMP,366,15185,8,380,14,366,0,49976,851192,242000,8631492,933182,0.184,
72605504743,2024,TMP,366,10442,2,201,16,365,1,49840,848880,141456,5425376,861824,0.136,
72606014764,2024,TMP,366,13889,66,366,18,364,2,49704,846568,221056,7917251,915986,0.165,
72614594705,2024,TMP,366,14622,1,362,12,365,1,49840,848880,221600,8694799,921510,0.192,
72617014742,2024,TMP,366,14731,6,467,12,366,0,49976,851192,234928,8996785,930001,0.234,
72618514605,2024,TMP,366,12307,0,439,2,363,2,49568,844256,166880,7135866,868947,0.247,
72622394725,2024,TMP,366,12899,2,373,4,365,1,49840,848880,187832,7544018,896828,0.228,
72622794790,2024,TMP,366,12304,4,379,2,366,0,49976,851192,173824,7396167,884924,0.22,
72635094860,2024,TMP,366,14022,13,377,15,366,0,49976,851192,223776,8840367,925598,0.168,
72636014840,2024,TMP,366,14780,2,386,12,365,1,49840,848880,236000,8656195,930411,0.167,
72637014826,2024,TMP,366,14529,6,869,347,366,0,49976,851192,231696,8412635,930253,0.214,
72637914845,2024,TMP,366,11610,1,377,1,365,1,49840,848880,160712,6826823,875303,0.195,
72638094814,2024,TMP,366,15601,9,386,29,364,1,49704,846568,246128,8878302,934383,0.255,
72638714850,2024,TMP,366,11195,6,374,2,365,1,49840,848880,153312,6845998,869892,0.238,
72639094849,2024,TMP,366,15102,12,385,10,366,0,49976,851192,240864,8648520,934492,0.241,
