isd_station,normals_id,path
72363023047,USW00023047,/home/fallen/data/showcase/normals/USW00023047.csv
72365023050,USW00023050,/home/fallen/data/showcase/normals/USW00023050.csv
72365823090,USW00023090,/home/fallen/data/showcase/normals/USW00023090.csv
72370093167,USW00093167,/home/fallen/data/showcase/normals/USW00093167.csv
72371003162,USW00003162,/home/fallen/data/showcase/normals/USW00003162.csv
72372323184,USW00023184,/home/fallen/data/showcase/normals/USW00023184.csv
72374023194,USW00023194,/home/fallen/data/showcase/normals/USW00023194.csv
72378303195,USW00003195,/home/fallen/data/showcase/normals/USW00003195.csv
72381523161,USW00023161,/home/fallen/data/showcase/normals/USW00023161.csv
72381603159,USW00003159,/home/fallen/data/showcase/normals/USW00003159.csv
72384023155,USW00023155,/home/fallen/data/showcase/normals/USW00023155.csv
72386023169,USW00023169,/home/fallen/data/showcase/normals/USW00023169.csv
72387003160,USW00003160,/home/fallen/data/showcase/normals/USW00003160.csv
72389093193,USW00093193,/home/fallen/data/showcase/normals/USW00093193.csv
72392523190,USW00023190,/home/fallen/data/showcase/normals/USW00023190.csv
72392623136,USW00023136,/home/fallen/data/showcase/normals/USW00023136.csv
72394023273,USW00023273,/home/fallen/data/showcase/normals/USW00023273.csv
72396593209,USW00093209,/home/fallen/data/showcase/normals/USW00093209.csv
72401013740,USW00013740,/home/fallen/data/showcase/normals/USW00013740.csv
72403093738,USW00093738,/home/fallen/data/showcase/normals/USW00093738.csv
72403513773,USW00013773,/home/fallen/data/showcase/normals/USW00013773.csv
72404013721,USW00013721,/home/fallen/data/showcase/normals/USW00013721.csv
72405013743,USW00013743,/home/fallen/data/showcase/normals/USW00013743.csv
72406093721,USW00093721,/home/fallen/data/showcase/normals/USW00093721.csv
72407093730,USW00093730,/home/fallen/data/showcase/normals/USW00093730.csv
72407513735,USW00013735,/home/fallen/data/showcase/normals/USW00013735.csv
72408013739,USW00013739,/home/fallen/data/showcase/normals/USW00013739.csv
72408594732,USW00094732,/home/fallen/data/showcase/normals/USW00094732.csv
72408813707,USW00013707,/home/fallen/data/showcase/normals/USW00013707.csv
72409614706,USW00014706,/home/fallen/data/showcase/normals/USW00014706.csv
72410013733,USW00013733,/home/fallen/data/showcase/normals/USW00013733.csv
72411013741,USW00013741,/home/fallen/data/showcase/normals/USW00013741.csv
72412003872,USW00003872,/home/fallen/data/showcase/normals/USW00003872.csv
72414013866,USW00013866,/home/fallen/data/showcase/normals/USW00013866.csv
72417013729,USW00013729,/home/fallen/data/showcase/normals/USW00013729.csv
72417613736,USW00013736,/home/fallen/data/showcase/normals/USW00013736.csv
72417713734,USW00013734,/home/fallen/data/showcase/normals/USW00013734.csv
72421093814,USW00093814,/home/fallen/data/showcase/normals/USW00093814.csv
72422093820,USW00093820,/home/fallen/data/showcase/normals/USW00093820.csv
72423093821,USW00093821,/home/fallen/data/showcase/normals/USW00093821.csv
72423513810,USW00013810,/home/fallen/data/showcase/normals/USW00013810.csv
72424013807,USW00013807,/home/fallen/data/showcase/normals/USW00013807.csv
72425003860,USW00003860,/home/fallen/data/showcase/normals/USW00003860.csv
72427303804,USW00003804,/home/fallen/data/showcase/normals/USW00003804.csv
72428014821,USW00014821,/home/fallen/data/showcase/normals/USW00014821.csv
72428693824,USW00093824,/home/fallen/data/showcase/normals/USW00093824.csv
72429093815,USW00093815,/home/fallen/data/showcase/normals/USW00093815.csv
72429793812,USW00093812,/home/fallen/data/showcase/normals/USW00093812.csv
72432093817,USW00093817,/home/fallen/data/showcase/normals/USW00093817.csv
72433813802,USW00013802,/home/fallen/data/showcase/normals/USW00013802.csv
72434013994,USW00013994,/home/fallen/data/showcase/normals/USW00013994.csv
72434503966,USW00003966,/home/fallen/data/showcase/normals/USW00003966.csv
72435003816,USW00003816,/home/fallen/data/showcase/normals/USW00003816.csv
72438093819,USW00093819,/home/fallen/data/showcase/normals/USW00093819.csv
72438614835,USW00014835,/home/fallen/data/showcase/normals/USW00014835.csv
72439093822,USW00093822,/home/fallen/data/showcase/normals/USW00093822.csv
72440013995,USW00013995,/home/fallen/data/showcase/normals/USW00013995.csv
72445003945,USW00003945,/home/fallen/data/showcase/normals/USW00003945.csv
72446003947,USW00003947,/home/fallen/data/showcase/normals/USW00003947.csv
