station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
01028099999,2024,TMP,3084,24,2.1313032547481943e-13,2.2255094485259953e-13,53.04452371698722,929.1610207593517,,0,ok,c,6.866841844403031,6.866841844403
01030099999,2024,TMP,5456,24,1.8020043532262759e-12,2.2255094485259953e-13,2106433.401620649,1146.066431964607,2.3990247380177267e-13,1,ok,b2,9.929066719405666,9.92906671940431
01033099999,2024,TMP,8374,24,7.479938712646671e-14,2.2255094485259953e-13,52.114727850196154,922.7403361225104,5.4696894222507925e-14,1,ok,b2,7.087237914386896,7.087237914386952
01035099999,2024,TMP,1547,24,4.596649825978146e-13,2.2255094485259953e-13,52.24034988409228,948.9883422479315,,0,ok,c,9.813633693024642,9.813633693024688
01037099999,2024,TMP,8375,24,2.492618997000515e-13,2.2255094485259953e-13,52.14205363494371,922.8573136688688,1.7047139571460212e-13,1,ok,c,10.512684480080946,10.51268448008099
01042099999,2024,TMP,1250,24,8.168493044769093e-09,2.2255094485259953e-13,15429967036156.125,1513.7101865578147,,0,ok,b1,6.992986305685111,6.992986309057426
01043099999,2024,TMP,1406,24,6.161502308794258e-14,2.2255094485259953e-13,52.48169529675938,922.9335579482677,,0,ok,b2,8.866424943448548,8.86642494344859
01044099999,2024,TMP,16515,24,4.9125168926143037e-14,2.2255094485259953e-13,53.425241332420285,912.3006105079181,7.301014748198578e-13,6,ok,b2,8.42109714182903,8.421097141829057
01045099999,2024,TMP,8396,24,8.965223303569382e-14,2.2255094485259953e-13,52.228374663392984,922.1269405339116,1.041697093408945e-13,1,ok,c,9.393681312927912,9.39368131292795
01046099999,2024,TMP,23850,24,2.2511493740837e-13,2.2255094485259953e-13,52.096533000935146,908.5032418452179,5.526049913770158e-13,6,ok,c,10.029893702984374,10.02989370298442
01047099999,2024,TMP,2032,24,7.564663104847629e-14,2.2255094485259953e-13,57.44765026705358,922.9621824365363,,0,ok,b1,14.511931976014917,14.511931976014921
01049099999,2024,TMP,19539,24,4.3785478148393563e-13,2.2255094485259953e-13,51.936865894076384,921.8328518010983,5.631261443277636e-13,7,ok,c,11.457970663781563,11.457970663781582
01052099999,2024,TMP,25028,24,4.5272865927230056e-14,2.2255094485259953e-13,52.35319965943443,922.9343599423852,3.3219754542356443e-13,7,ok,v,9.41820374813278,9.418203748132814
01055099999,2024,TMP,2240,24,1.3075419777476926e-11,2.2255094485259953e-13,95751.6422685149,953.8268228716696,,0,ok,a2,7.162605355077626,7.162605355077178
01057099999,2024,TMP,848,24,6.481585552756727e-14,2.2255094485259953e-13,157.52154875950316,923.5861674173146,,0,ok,b1,14.533373434317488,14.53337343431748
01058099999,2024,TMP,8362,24,4.512281976785637e-14,2.2255094485259953e-13,52.10270495992495,923.1136536984302,5.97915987720746e-15,1,ok,v,13.169442447925894,13.169442447925897
01059099999,2024,TMP,25003,24,1.5143458890357923e-13,2.2255094485259953e-13,52.241956604016146,919.8763658060026,6.329324545304621e-13,6,ok,c,11.410862669129344,11.410862669129358
