station,year,field,n,order,score,coverage,gram_cond,design_cond,day_score,n_days_checked,gate,worst_param,amp_image,amp_raw
72203012844,2024,TMP,12447,24,1.8609538803555857e-14,2.2255094485259953e-13,49.785568321271434,924.9689528447789,5.454001102910716e-13,8,ok,b1,4.6499930893686345,4.649993089368617
72204012838,2024,TMP,11047,24,2.2480862143795117e-14,2.2255094485259953e-13,51.962853162395,915.2925513013583,5.191802793392504e-13,8,ok,b2,5.446714876074788,5.446714876074793
72205012815,2024,TMP,12417,24,1.5655250743991298e-13,2.2255094485259953e-13,50.82818421360088,901.3562970538643,2.448743937396564e-13,6,ok,b2,5.7156627489911935,5.715662748991203
72205312841,2024,TMP,10984,24,1.6783298914043349e-13,2.2255094485259953e-13,50.39561920426118,916.6804749615127,1.640629280438425e-13,7,ok,b2,5.941443142433027,5.941443142432994
72205712854,2024,TMP,10871,24,2.7545170151045015e-13,2.2255094485259953e-13,49.98901583292693,912.4864395708571,5.636095620121699e-13,7,ok,b2,5.957594436008294,5.957594436008269
72206013889,2024,TMP,13288,24,4.270931357693176e-13,2.2255094485259953e-13,49.649471916094775,928.7990590442384,1.9346865435768408e-13,8,ok,b2,7.388400132625507,7.388400132625502
72206593837,2024,TMP,10720,24,5.916351282571107e-14,2.2255094485259953e-13,50.27793976462495,924.808652514184,2.793433900518058e-13,7,ok,b2,7.155924317985622,7.155924317985605
72207003822,2024,TMP,13485,24,8.272881361134817e-13,2.2255094485259953e-13,50.29011063722894,923.7673111543771,2.1134738903787314e-13,7,ok,b2,8.019651335537313,8.01965133553735
72208013880,2024,TMP,12746,24,6.688072148091151e-13,2.2255094485259953e-13,49.40353804772288,929.6664617243547,1.5844427051500274e-13,8,ok,b2,8.331091521043662,8.33109152104369
72208593831,2024,TMP,11459,24,7.823982777582672e-13,2.2255094485259953e-13,54.009272280707556,931.2163472114137,1.0773084309419718e-13,7,ok,b2,8.661579059623627,8.661579059623678
72210612835,2024,TMP,11031,24,8.043599857021485e-15,2.2255094485259953e-13,50.53128552887782,919.9105018624672,9.307489588774313e-14,7,ok,b1,5.067842401363576,5.067842401363581
72210812894,2024,TMP,9667,24,5.647135418364911e-13,2.2255094485259953e-13,5180.854213983137,1016.857679716819,1.1072491515742383e-13,7,ok,b2,4.729552366451642,4.729552366451696
72211012842,2024,TMP,12899,24,2.5026159777946184e-14,2.2255094485259953e-13,49.388273711512426,915.1014646992264,9.623113495571524e-13,7,ok,b1,6.057808378736484,6.0578083787364605
72211612873,2024,TMP,10097,24,5.790069202523451e-14,2.2255094485259953e-13,71.78918958045035,964.1652994259613,5.251617863022353e-13,7,ok,b2,6.112156875585562,6.112156875585545
72212012833,2024,TMP,12177,24,3.5280102488668864e-10,2.2255094485259953e-13,1917710659.674606,1627.7622318900078,2.3134086208552303e-13,4,ok,b1,8.770194525604095,8.77019452513845
72213713878,2024,TMP,17618,24,2.0647813051822612e-13,2.2255094485259953e-13,48.68886788071265,941.6367040672701,1.4449510709013087e-13,6,ok,b2,8.272908047164702,8.272908047164723
72214093805,2024,TMP,14014,24,4.501792239009854e-13,2.2255094485259953e-13,50.27469271396477,928.8613559836036,6.687563634582187e-14,8,ok,b2,7.868869711051736,7.868869711051747
72216013869,2024,TMP,11127,24,6.490738063211161e-13,2.2255094485259953e-13,49.42323239635137,921.32640113245,1.5918241309099075e-13,7,ok,b2,8.301107641543561,8.301107641543586
72216693845,2024,TMP,11687,24,5.737309569390374e-13,2.2255094485259953e-13,51.47930823944243,923.5058827882043,3.8591953225789995e-13,6,ok,b2,7.384603974707942,7.384603974707978
72217003813,2024,TMP,13730,24,2.549955112402898e-13,2.2255094485259953e-13,50.186437698736,937.1620604580656,3.9928652431169563e-13,8,ok,b2,8.89074933343554,8.890749333435558
72217513860,2024,TMP,13341,24,5.695726764115351e-13,2.2255094485259953e-13,55.52721151016293,926.117964184676,1.3611240983591208e-13,6,ok,b2,8.180810858969457,8.180810858969465
72218003820,2024,TMP,14221,24,5.410572683134163e-13,2.2255094485259953e-13,51.154420808245575,932.735658095705,7.521662392987781e-13,6,ok,v,8.948261987461057,8.948261987461075
72219013874,2024,TMP,13048,24,3.4465293929559725e-13,2.2255094485259953e-13,49.142728521046,930.7430219539223,2.0875419478691088e-13,8,ok,b2,9.402698606641469,9.402698606641481
72219503888,2024,TMP,10909,24,3.637120295985782e-13,2.2255094485259953e-13,51.65750241154452,934.3116394501894,1.96840744724286e-13,8,ok,b2,9.274563732350938,9.274563732350968
