sta,component,n,span,order,score,coverage,gram_cond,design_cond,gram_rebuild_err,gate,worst_param,v_image,v_raw
0ASD,north,4828,13.3251,123,2.793153895722318e-14,1.5673428382449162e-12,253.61557627379,15.524765736613357,0.0,ok,a2,0.014374321411685974,0.014374321411685861
0ASD,up,4828,13.3251,123,1.4910685485989322e-14,1.5673428382449162e-12,253.61557627379,15.524765736613357,0.0,ok,v,0.0024571363359584797,0.0024571363359583774
0ASE,east,6883,18.9843,168,4.796700344661353e-14,7.181756353307096e-12,356.8907490269829,22.029678297846264,0.0,ok,a2,0.016111909536324166,0.01611190953632462
0ASE,north,6883,18.9843,168,6.235415956074315e-14,7.181756353307096e-12,356.8907490269829,22.029678297846264,0.0,ok,a2,0.014667341152796191,0.01466734115279563
0ASE,up,6883,18.9843,168,2.3136047582833364e-13,7.181756353307096e-12,356.8907490269829,22.029678297846264,0.0,ok,v,0.00976979616378144,0.00976979616377918
0AST,east,3042,8.4654,84,4.0697354938416884e-13,1.428904595098443e-11,215.58266305299693,9.985599364032229,0.0,ok,b2,0.018244498989674188,0.01824449898967409
0AST,north,3042,8.4654,84,1.955300102901944e-13,1.428904595098443e-11,215.58266305299693,9.985599364032229,0.0,ok,b2,0.01496405825150537,0.01496405825150554
0AST,up,3042,8.4654,84,1.2066853355127716e-13,1.428904595098443e-11,215.58266305299693,9.985599364032229,0.0,ok,b2,0.0008125385099449164,0.0008125385099451329
0ATR,east,8639,23.9507,208,4.5022671387690964e-13,3.2426465024448066e-11,4348.95390168548,27.85425024975829,0.0,ok,a2,0.01755327704962302,0.017553277049623017
0ATR,north,8639,23.9507,208,9.151256658566418e-14,3.2426465024448066e-11,4348.95390168548,27.85425024975829,0.0,ok,a2,0.014757172892621408,0.014757172892621368
0ATR,up,8639,23.9507,208,4.4907602910624916e-14,3.2426465024448066e-11,4348.95390168548,27.85425024975829,0.0,ok,a2,0.0019371939689034607,0.0019371939689034467
0ATT,east,2637,7.3265,75,6.067174714425967e-13,2.1362886457187658e-11,518.9371090289472,8.870750133569622,0.0,ok,b1,0.01788700597281366,0.017887005972813688
0ATT,north,2637,7.3265,75,6.64547582599011e-13,2.1362886457187658e-11,518.9371090289472,8.870750133569622,0.0,ok,b1,0.014613988155546856,0.014613988155546967
