station,year,field,days,n,dropped_quality,dropped_missing,dropped_repeat,n_days,dropped_days,coef_bytes,gram_bytes,grid_bytes,raw_bytes,npz_bytes,seconds,error
01311099999,2024,TMP,366,24966,6,11,0,0,0,200,5000,199728,10959219,55172,0.165,
01314099999,2024,TMP,366,7376,0,6,0,0,0,200,5000,59008,2430489,18117,0.042,
01315099999,2024,TMP,366,1599,0,0,0,0,0,200,5000,12792,497803,7349,0.007,
01317099999,2024,TMP,366,3029,0,0,0,0,0,200,5000,24232,1519528,9420,0.019,
01319099999,2024,TMP,366,1567,0,0,0,0,0,200,5000,12536,453852,7270,0.016,
01320099999,2024,TMP,366,17088,0,1,0,0,0,200,5000,136704,7389660,36004,0.12,
01321099999,2024,TMP,366,8374,0,0,0,0,0,200,5000,66992,3078926,19506,0.07,
01323099999,2024,TMP,366,16839,0,49,0,0,0,200,5000,134712,6506724,35568,0.148,
01326099999,2024,TMP,366,1632,1,6,0,0,0,200,5000,13056,465616,7507,0.013,
01327099999,2024,TMP,366,8373,0,1,0,0,0,200,5000,66984,3325705,19514,0.042,
01329099999,2024,TMP,366,8386,0,7,0,0,0,200,5000,67088,3088393,19523,0.055,
01332099999,2024,TMP,366,7384,1,1,0,0,0,200,5000,59072,2436412,18131,0.056,
01336099999,2024,TMP,366,1816,0,0,0,0,0,200,5000,14528,510384,7826,0.016,
01337099999,2024,TMP,366,8384,0,17,0,0,0,200,5000,67072,3274620,19535,0.057,
01338099999,2024,TMP,366,2923,0,6,0,0,0,200,5000,23384,1125451,9109,0.017,
01340099999,2024,TMP,366,8371,0,0,0,0,0,200,5000,66968,3228202,19494,0.038,
01342099999,2024,TMP,366,7367,1,13,0,0,0,200,5000,58936,1851288,18094,0.049,
01344099999,2024,TMP,366,8375,0,0,0,0,0,200,5000,67000,2443834,19501,0.032,
01345099999,2024,TMP,366,4745,0,0,0,0,0,200,5000,37960,1500186,13329,0.021,
01346099999,2024,TMP,366,5333,0,0,0,0,0,200,5000,42664,1494846,14447,0.042,
01347099999,2024,TMP,366,17021,0,3,0,0,0,200,5000,136168,6976986,35887,0.1,
01350099999,2024,TMP,366,8278,2,1,0,0,0,200,5000,66224,3192977,19342,0.084,
01352099999,2024,TMP,366,1772,1,1,0,0,0,200,5000,14176,533528,7765,0.018,
